date,time,temp,hum,dust,mdust
2024-11-21,04:28:02,23,49,20,19
2024-11-21,04:28:31,23,49,23,21
2024-11-21,04:29:00,23,49,18,18
2024-11-21,04:29:30,23,49,21,21
2024-11-21,04:29:59,23,49,24,24
2024-11-21,04:30:28,23,49,26,25
2024-11-21,04:30:57,23,49,21,21
2024-11-21,04:31:27,23,49,21,21
2024-11-21,04:31:56,23,49,20,20
2024-11-21,04:32:25,23,49,18,17
2024-11-21,04:32:54,23,49,19,18
2024-11-21,04:33:24,23,49,24,23
2024-11-21,04:33:53,23,49,22,21
2024-11-21,04:34:22,23,49,24,22
2024-11-21,04:34:51,23,49,24,24
2024-11-21,04:35:21,23,49,23,22
2024-11-21,04:35:50,23,49,20,20
2024-11-21,04:36:19,23,49,23,22
2024-11-21,04:36:49,23,49,24,21
2024-11-21,04:37:18,23,49,22,20
2024-11-21,04:37:47,23,49,22,21
2024-11-21,04:38:16,23,49,20,20
2024-11-21,04:38:46,23,49,21,19
2024-11-21,04:39:15,23,49,20,19
2024-11-21,04:39:44,23,49,23,23
2024-11-21,04:40:13,23,49,20,19
2024-11-21,04:40:43,23,49,19,17
2024-11-21,04:41:12,23,49,20,19
2024-11-21,04:41:41,23,49,29,28
2024-11-21,04:42:10,23,49,19,19
2024-11-21,04:42:40,23,49,22,21
2024-11-21,04:43:09,23,49,27,23
2024-11-21,04:43:38,23,49,22,19
2024-11-21,04:44:07,23,49,21,21
2024-11-21,04:44:37,23,49,22,22
2024-11-21,04:45:06,23,49,23,23
2024-11-21,04:45:35,23,49,22,22
2024-11-21,04:46:04,23,49,18,17
2024-11-21,04:46:34,23,49,24,21
2024-11-21,04:47:03,23,49,21,19
2024-11-21,04:47:32,23,49,19,19
2024-11-21,04:48:01,23,49,23,23
2024-11-21,04:48:31,23,49,20,20
2024-11-21,04:49:00,23,49,24,22
2024-11-21,04:49:29,23,49,23,21
2024-11-21,04:49:58,23,49,19,18
2024-11-21,04:50:28,23,49,23,21
2024-11-21,04:50:57,23,49,28,26
2024-11-21,04:51:26,23,49,20,18
2024-11-21,04:51:55,23,49,23,23
2024-11-21,04:52:25,23,49,20,20
2024-11-21,04:52:54,23,49,17,16
2024-11-21,04:53:23,23,49,21,20
2024-11-21,04:53:53,23,49,18,18
2024-11-21,04:54:22,23,49,27,26
2024-11-21,04:54:51,23,49,23,23
2024-11-21,04:55:20,23,49,27,25
2024-11-21,04:55:50,23,49,24,23
2024-11-21,04:56:19,23,49,19,19
2024-11-21,04:56:48,23,49,24,24
2024-11-21,04:57:17,23,49,18,18
2024-11-21,04:57:47,23,49,22,22
2024-11-21,04:58:16,23,49,25,24
2024-11-21,04:58:45,23,49,24,22
2024-11-21,04:59:14,23,49,22,22
2024-11-21,04:59:44,23,49,24,24
2024-11-21,05:00:13,23,49,20,19
2024-11-21,05:00:42,23,49,23,22
2024-11-21,05:01:11,23,49,25,25
2024-11-21,05:01:41,23,49,21,20
2024-11-21,05:02:10,23,49,27,25
2024-11-21,05:02:39,23,49,22,22
2024-11-21,05:03:08,23,49,21,20
2024-11-21,05:03:38,23,49,24,23
